Time,Instance,AvgCPUload,AvgRAM
1605183023,3,26.31,51.55
1605183025,3,25.41,51.54
1605183026,3,25.85,51.54
1605183028,3,27.49,51.53
1605183029,3,27.25,51.53
1605183031,3,28.89,51.55
1605183032,3,24.61,51.56
1605183033,3,21.25,51.53
1605183035,3,26.88,51.53
1605183036,3,22.85,51.53
1605183038,3,23.47,51.54
1605183039,3,24.57,51.56
1605183041,3,23.59,51.56
1605183042,3,24.97,51.58
1605183043,3,24.22,51.56
1605183045,3,23.29,51.55
1605183046,2,24.77,51.55
1605183047,2,21.54,51.54
1605183048,3,19.58,51.53
1605183049,2,23.2,51.54
1605183050,3,25.09,51.54
1605183051,2,20.31,51.54
1605183052,2,23.85,51.56
1605183053,3,21.46,51.56
1605183054,3,21.24,51.57
1605183055,3,23.44,51.57
1605183056,2,18.75,51.57
1605183057,3,16.32,51.56
1605183058,3,18.71,51.57
1605183059,2,18.46,51.58
1605183060,3,20.72,51.55
1605183061,3,20.43,51.54
1605183062,3,19.28,51.55
1605183063,3,19.45,51.56
1605183064,3,18.95,51.57
1605183065,3,21.22,51.57
1605183066,3,22.31,51.58
1605183067,2,22.32,51.58
1605183068,3,21.3,51.57
1605183069,3,23.98,51.58
1605183070,2,22.55,51.58
1605183071,3,20.24,51.59
1605183073,3,20.95,51.6
1605183074,3,28.82,51.56
1605183075,2,29.9,51.55
1605183076,2,28.61,51.56
1605183077,3,29.76,51.55
1605183078,2,29.22,51.55
1605183079,2,27.44,51.55
1605183080,3,27.87,51.57
1605183081,3,33.68,51.56
1605183082,3,27.13,51.56
1605183084,3,22.49,51.56
1605183085,3,24.95,51.56
1605183086,3,26.91,51.56
1605183088,3,23.74,51.56
1605183089,3,26.24,51.57
1605183091,3,28.61,51.57
1605183092,3,22.97,51.56
1605183094,3,25.59,51.59
1605183095,3,41.91,52.09
1605183097,3,66.26,52.81
1605183098,3,90,53.92
1605183100,3,96.67,54.51
1605183101,3,98.67,55.95
1605183102,3,89.64,56.81
1605183104,3,51.23,56.99
1605183105,3,37.99,57.01
1605183107,3,27.18,57.04
1605183108,2,25.58,57.03
1605183109,3,26.12,57.01
1605183110,3,29.89,57.04
1605183111,1,30.9,57.04
1605183112,3,26.44,57.02
1605183113,3,29.59,57.01
1605183114,2,28.45,57.03
1605183115,3,29.79,57.02
1605183116,3,28.68,57.02
1605183117,2,26.95,57.03
1605183118,3,28.4,57.02
1605183119,3,30.39,57.03
1605183120,2,27.78,57.02
1605183121,2,27.34,57.01
1605183122,3,30.74,57.02
1605183123,3,33.4,57.04
1605183124,3,34.65,57.04
1605183125,2,31.8,57.03
1605183126,2,29.41,57.03
1605183127,3,31.24,57.03
1605183128,3,30.8,57.04
